,Rank (2017),City,Counties,State,Mayor,Nickname,Population Estimate (2017),2010 Census,Change,2016 Land Area (sq mi),2016 Population Density (per sq mi),"Location (N,W)"
217,218.0,Lafayette,Lafayette,Louisiana,N/A,The Hub City,126143,120623,+4.58%,53.8,2372,"(30.2074, 92.0285)"
218,219.0,Athens,Clarke,Georgia,Kelly Girtz ,"""The Classic City""",125964,115452,+9.11%,116.4,1060,"(33.9496, 83.3701)"
219,220.0,Topeka,Shawnee,Kansas,Michelle De La Isla,"""Capitol City""",125904,127473,-1.23%,61.5,2062,"(39.0347, 95.6962)"
220,221.0,Simi Valley,Ventura,California,Keith Mashburn,None,125851,124237,+1.30%,41.5,3044,"(34.2669, 118.7485)"
221,222.0,Fargo,Cass,North Dakota,Tim Mahoney,None,124844,105549,+18.28%,49.3,2450,"(46.8652, 96.8290)"
222,223.0,Norman,Cleveland,Oklahoma,Lynne Miller,None,123471,110925,+11.31%,178.8,683,"(35.2406, 97.3453)"
223,224.0,Columbia,Boone,Missouri,Brian Treece," ""Athens of Missouri""",123180,108500,+13.53%,65.0,1856,"(38.951561, 92.328638)"
224,225.0,Abilene,"Taylor, Jones",Texas,Anthony Williams," ""The Key City"" ""The Friendly Frontier""",122999,117063,+5.07%,106.7,1146,"(32.4545, 99.7381)"
225,226.0,Wilmington,New Hanover,North Carolina,Bill Saffo,The Port City,122607,106476,+15.15%,51.6,2278,"(34.2092, 77.8858)"
226,227.0,Hartford,Hartford,Connecticut,Luke Bronin ,New England's Rising StarThe Insurance Capital of the World,122587,124775,-1.75%,17.4,7083,"(41.7659, 72.6816)"
227,228.0,Victorville,San Bernardino,California,Gloria Garcia,None,122312,115903,+5.53%,73.3,1668,"(34.5277, 117.3536)"
228,229.0,Pearland,"Brazoria, Fort Bend, Harris",Texas,Tom Reid,None,122149,91252,+33.86%,46.3,2453,"(29.5558, 95.3231)"
229,230.0,Vallejo,Solano,California,Bob Sampayan,V-Town,121913,115942,+5.15%,30.7,3951,"(38.1079, 122.2640)"
230,231.0,Ann Arbor,Washtenaw,Michigan,Christopher Taylor ," A2 (""A"" Squared)",121890,113934,+6.98%,28.1,4298,"(42.2761, 83.7309)"
231,232.0,Berkeley,Alameda,California,Jesse Arreguín,None,121643,112580,+8.05%,10.5,11547,"(37.8670, 122.2991)"
232,233.0,Allentown,Lehigh,Pennsylvania,Ray O'Connell ," ""The A"" ""The Queen City""",121433,118032,+2.88%,17.5,6882,"(40.5936, 75.4784)"
233,234.0,Richardson,Dallas Collin,Texas,Paul Voelker,"""The Telecom Corridor""",120981,99223,+21.93%,28.6,3963,"(32.9723, 96.7081)"
234,235.0,Odessa,"Ector, Midland",Texas,David Turner,None,120568,99940,+20.64%,45.2,2608,"(31.8838, 102.3411)"
235,236.0,Arvada,Arvada,Colorado,Marc Williams ,None,120492,106433,+13.21%,38.6,3043,"(39.8337, 105.1503)"
236,237.0,Cambridge,Middlesex,Massachusetts,Marc C. McGovern,None,118977,105162,+13.14%,6.4,17289,"(42.3760, 71.1187)"
237,238.0,Sugar Land,Fort Bend,Texas,Joe R. Zimmerman,None,118600,78817,+50.48%,34.0,3488,"(29.5994, 95.6142)"
238,239.0,Beaumont,Jefferson,Texas,Becky Ames,None,118428,118296,+0.11%,82.1,1441,"(30.0849, 94.1453)"
